,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
991,PM4985998,2986_0039,Walmart Supercenter #01-5968,2017,In Compliance,5929  GEORGIA AV NW,SCG 5929 GEORGIA AVENUE LLC,4.0,WASHINGTON,DC,20011.0,2013,Wholesale Club-Supercenter,Wholesale Club-Supercenter,106243.0,105455.0,66,124.8,128.3,334.2,335.2,1291.7,12.2,1366.8,3004944.7,29063.243730000002,38.96244379,-77.02632243
1002,PM4542852,4327_0004,Costco #1120 Washington DC,2017,In Compliance,2441 MARKET ST NE,COSTCO WHOLESALE CORPORATION,5.0,WASHINGTON,DC,20018.0,2012,Wholesale Club-Supercenter,Wholesale Club-Supercenter,154000.0,160638.0,29,160.2,165.2,376.3,378.6,2291.6,14.3,9188.0,4688306.7,97354.24958999999,38.92085096,-76.95088116
1810,PM4542852,4327_0004,Costco #1120 Washington DC,2016,In Compliance,2441 MARKET ST NE,COSTCO WHOLESALE CORPORATION,5.0,WASHINGTON,DC,20018.0,2012,Wholesale Club-Supercenter,Wholesale Club-Supercenter,154000.0,160638.0,38,157.1,158.3,372.7,371.0,2323.4,14.5,3937.2,4678953.3,92735.4219,38.92085096,-76.95088116
2622,PM4542852,4327_0004,#1120 Washington DC,2015,In Compliance,2441 MARKET ST NE,COSTCO WHOLESALE CORPORATION,5.0,Washington,DC,20018.0,2013,Wholesale Club-Supercenter,Wholesale Club-Supercenter,160638.0,160638.0,1,165.1,166.7,379.2,377.3,2685.9,16.7,2878.0,4636263.2,107000.8506,38.92085096,-76.95088116
