,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
2957,PM3632510,0182_0083,The University of California Washington Center,2014,In Compliance,1608 RHODE ISLAND AV NW,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2,WASHINGTON,DC,20036,2001,College/University,Residence Hall-Dormitory,184556,158819.0,50,70.1,70.2,155.1,155.2,1091.7,6.9,5997.5,1814714.3,49484.30376,38.90652047,-77.03736419,
2980,PM1419714,0103_0001,Francis Scott Key Hall,2014,In Compliance,0600 20TH ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1910,Residence Hall-Dormitory,Residence Hall-Dormitory,62271,61135.0,58,88.6,87.5,161.9,159.5,450.5,7.4,3231.9,590449.3,34035.42944,38.89765046,-77.04520155,
2990,PM1419790,0072_0007,Aston,2014,In Compliance,1129 NEW HAMPSHIRE AV NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20037,1965,Residence Hall-Dormitory,Residence Hall-Dormitory,104970,70625.0,61,75.6,75.3,164.1,163.8,514.7,7.3,4860.4,838699.7,24787.0645,38.90435977,-77.04771939,
2996,PM3512980,2873_1101,Howard Tower Plaza,2014,In Compliance,2251 SHERMAN AV,HOWARD UNIVERSITY,1,WASHINGTON,DC,20001,1988,Residence Hall-Dormitory,Residence Hall-Dormitory,520000,573687.0,59,74.5,74.3,165.5,164.7,4204.0,7.3,57855.8,7015072.2,188255.005,38.92031807,-77.023882,
3000,PM1030454,1374_0850,Somers Hall,2014,In Compliance,2100 FOXHALL RD NW,THE GEORGE WASHINGTON UNIVERSITY,3,WASHINGTON,DC,20007,1970,Residence Hall-Dormitory,Residence Hall-Dormitory,271712,74541.0,58,72.7,72.4,166.3,165.2,547.0,7.3,4326.9,940528.4,22111.28381,38.91787929,-77.09129452,
3018,PM1032878,0057_0055,Townhouse Row,2014,In Compliance,607 23RD ST,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,2003,Residence Hall-Dormitory,Residence Hall-Dormitory,71224,69267.0,54,68.6,67.6,170.7,167.4,516.4,7.5,2256.5,958059.8,14833.53274,38.89785666,-77.0498295,
3072,PM3508507,3548_0002,KH - Kerby Hall,2014,In Compliance,4TH ST NE,TRINITY COLLEGE,5,WASHINGTON,DC,20017,1965,Residence Hall-Dormitory,Residence Hall-Dormitory,56787,51980.0,53,117.1,116.3,182.6,181.3,443.0,8.5,1485.7,434791.4,46021.7194,38.92704975,-77.00133099,
3105,PM1327534,0103_0042,Potomac House,2014,In Compliance,2021 F ST,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,2006,Residence Hall-Dormitory,Residence Hall-Dormitory,129014,100127.0,48,91.0,90.8,189.1,188.3,845.8,8.4,8717.4,1313886.9,46262.38818,38.89769265,-77.04574336,
3132,PM2266003,0080_0056,South Hall,2014,In Compliance,2135 F ST,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20037,2009,Residence Hall-Dormitory,Residence Hall-Dormitory,184320,214829.0,43,89.1,88.6,194.3,193.4,1852.8,8.6,10552.8,3035428.6,87803.97873999999,38.89767087,-77.0481232,
3420,PM1418352,0077_0060,Lafayette Hall,2013,In Compliance,0800 21ST ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1970,Residence Hall-Dormitory,Residence Hall-Dormitory,396467,34198.0,90,38.2,38.2,94.7,94.7,135.0,3.9,8.9,261832.2073,4118.649,38.90013965,-77.04717664,
3436,PM1416427,0055_0855,Munson Hall,2013,In Compliance,2212 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1939,Residence Hall-Dormitory,Residence Hall-Dormitory,81153,49662.0,83,45.7,45.7,110.4,110.4,229.5,4.6,1806.7,434580.5744,7860.7519999999995,38.90038568,-77.04961587,
3447,PM1419320,0080_0825,Guthridge Hall,2013,In Compliance,2115 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1926,Residence Hall-Dormitory,Residence Hall-Dormitory,64899,68372.0,78,64.8,65.3,122.8,123.3,366.8,5.4,4265.7,524961.2199,26377.126,38.89767115,-77.04744352,
3456,PM1454748,0569_0865,Gewirz Residence Building,2013,In Compliance,0120 F ST NW,GEORGETOWN UNIVERSITY,6,WASHINGTON,DC,20001,1992,Residence Hall-Dormitory,Residence Hall-Dormitory,242217,225264.0,66,52.5,52.8,128.6,129.0,1268.0,5.6,5504.2,2322185.8,39035.700430000004,38.896887400000004,-77.01338327,
3457,PM1419778,0006_0825,Hall on Virginia Avenue,2013,In Compliance,2601 VIRGINIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20037,1962,Residence Hall-Dormitory,Residence Hall-Dormitory,173856,135257.0,79,68.6,69.4,129.0,129.8,763.9,5.6,4359.1,1080324.81,55986.094000000005,38.90028178,-77.05533198,
3463,PM3668050,0774_0058,TWC Residential Academic Facility,2013,In Compliance,1005 3RD ST,THE WASHINGTON CENTER FOR INTERNSHIPS AND ACADEMIC SEMINARS,6,WASHINGTON,DC,20002,2010,Residence Hall-Dormitory,Residence Hall-Dormitory,140908,140908.0,64,63.1,63.9,131.5,132.3,795.3,5.6,7995.6,1290121.707,44832.717000000004,38.90314162,-77.00172233,
3468,PM3506518,PAR01200034,CH - Cuvilly Hall,2013,In Compliance,125 MICHIGAN AV,TRINITY COLLEGE,5,WASHINGTON,DC,20017,1964,Residence Hall-Dormitory,Residence Hall-Dormitory,482879,71168.0,72,84.7,85.9,138.4,139.7,443.9,6.2,2194.5,493769.1955,43432.054000000004,38.92721777,-77.00354317,
3491,PM1419714,0103_0001,Francis Scott Key Hall,2013,In Compliance,0600 20TH ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1910,Residence Hall-Dormitory,Residence Hall-Dormitory,62271,61135.0,62,79.9,80.4,153.4,153.9,416.4,6.8,2787.7,597580.5545,25041.72,38.89765046,-77.04520155,
3527,PM1415246,0081_0846,Dakota,2013,In Compliance,2100 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1989,Residence Hall-Dormitory,Residence Hall-Dormitory,69402,70389.0,56,72.3,72.6,166.3,166.6,494.2,7.0,9033.8,892314.7508,20457.189,38.89705673,-77.04693372,
3528,PM1030402,0042_0054,Amsterdam Hall,2013,In Compliance,2350 H ST,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1994,Residence Hall-Dormitory,Residence Hall-Dormitory,165390,129562.0,58,76.8,77.3,166.4,166.9,919.4,7.1,9594.5,1558010.244,46385.605,38.89928263,-77.05091747,
3530,PM3508507,3548_0002,KH - Kerby Hall,2013,In Compliance,4TH ST NE,TRINITY COLLEGE,5,WASHINGTON,DC,20017,1965,Residence Hall-Dormitory,Residence Hall-Dormitory,56787,51980.0,59,101.5,102.8,166.7,168.1,390.1,7.5,9548.4,438773.3933,37775.347,38.92704975,-77.00133098,
3534,PM1030454,1374_0850,Somers Hall,2013,In Compliance,2100 FOXHALL RD NW,THE GEORGE WASHINGTON UNIVERSITY,3,WASHINGTON,DC,20007,1970,Residence Hall-Dormitory,Residence Hall-Dormitory,271712,74541.0,56,73.7,74.1,168.7,169.1,531.4,7.1,4369.6,954562.3693,22395.71,38.91787929,-77.09129452,
3580,PM3632510,0182_0083,The University of California Washington Center,2013,In Compliance,1608 RHODE ISLAND AV NW,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2,WASHINGTON,DC,20036,2001,College/University,Residence Hall-Dormitory,184559,158819.0,35,80.5,80.8,183.2,183.5,1229.9,7.7,6010.4,2198206.767,52773.734000000004,38.90652047,-77.03736419,
3630,PM1327534,0103_0042,Potomac House,2013,In Compliance,2021 F ST,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,2005,Residence Hall-Dormitory,Residence Hall-Dormitory,129014,100127.0,42,92.4,92.6,200.1,200.3,854.2,8.5,7173.1,1447141.6469999999,43134.149000000005,38.89769265,-77.04574336,
3645,PM2266003,0080_0056,South Hall,2013,In Compliance,2135 F ST,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20037,2009,Residence Hall-Dormitory,Residence Hall-Dormitory,184320,214829.0,37,95.2,95.6,206.2,206.7,1888.7,8.8,9630.4,3201966.17,95184.17599999999,38.89767087,-77.0481232,
3667,PM1032878,0057_0055,Townhouse Row,2013,In Compliance,607 23RD ST,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,2003,Residence Hall-Dormitory,Residence Hall-Dormitory,71224,69267.0,33,89.2,89.3,215.7,215.8,625.6,9.0,3269.3,1185832.71,21328.825,38.89785666,-77.0498295,
