,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude,Unnamed: 28
999,PM4548725,0186_0042,Hay Adams Holdings LLC,2017,Data Under Review by DOEE,800 16TH ST NW,HAY ADAMS HOLDINGS LLC,2,WASHINGTON,DC,20006,1928,Hotel,Hotel,106827,106827.0,24,146.7,148.7,348.4,348.4,1406.7,13.2,8606.1,2910945.8,57400.75242999999,38.90053306,-77.03695907,
1010,PM4855921,0345_0040,Grand Hyatt Washington,2017,Data Under Review by DOEE,1000 H ST NW,HHR GHDC LIMITED PARTNERSHIP,2,WASHINGTON,DC,20001,1986,Hotel,Hotel,404943,404943.0,2,186.6,188.3,453.8,454.0,6902.3,17.0,40003.4,14639595.5,256281.4841,38.89934806,-77.02649002,
1017,PM3991736,0182_0084,The Jefferson Hotel,2017,Data Under Review by DOEE,1200 16TH ST NW,DC CAP HOTELIER LLC,2,WASHINGTON,DC,20036,1922,Hotel,Hotel,76254,76254.0,1,257.9,264.2,566.3,569.4,1667.9,21.9,5667.3,3160634.3,88788.0571,38.90594573,-77.03695807,
1163,PM3499931,0081_0096,State Plaza Hotel,2016,In Compliance,2117 E ST NW,SHERRY TOWERS APARTMENT HOTEL LP,2,WASHINGTON,DC,20037,1955,Hotel,Hotel,94139,291819.0,91,57.0,56.3,102.0,100.1,1245.8,4.3,9945.3,1728176.2,107234.8859,38.89638955,-77.04750319,
1209,PM3524414,0211_0055,Hotel Helix,2016,In Compliance,1430  RHODE ISLAND AVE NW,LHO WASHINGTON HOTEL FOUR LLC,2,WASHINGTON,DC,20005,1965,Hotel,Hotel,125764,136576.0,93,56.0,54.9,115.4,111.9,633.6,4.6,3680.5,1084171.1,39427.80243,38.90808829,-77.03300732,
1326,PM3670053,4393_0015,Holiday Inn Express and Suites Washington DC Northeast,2016,In Compliance,1917 BLADENSBURG RD NE,SUTON ONE LLC,5,WASHINGTON,DC,20002,2008,Hotel,Hotel,100130,101130.0,59,61.6,61.9,139.5,139.8,553.7,5.5,4960.3,1061496.7,26051.29081,38.91646865,-76.97214603,
1327,PM3635119,0195_0145,Holiday Inn Washington DC Central / White House,2016,In Compliance,1501 RHODE ISLAND AVE NW,RHODE ISLAND ASSOCIATES LLC,2,WASHINGTON,DC,20005,1968,Hotel,Hotel,143175,123815.0,87,70.4,70.3,139.6,138.0,702.5,5.7,7463.4,1138650.4,48374.3146,38.90812348,-77.03497312,
1337,PM4021278,0072_0006,Best Western Georgetown Hotel and Suites,2016,In Compliance,1121 NEW HAMPSHIRE AVE NW,GEORGETOWN SUITES LLC,2,WASHINGTON,DC,20037,1989,Hotel,Hotel,55161,55161.0,49,57.3,57.5,141.4,141.6,299.8,5.4,273705.6,628009.0,10186.0996,38.90431077,-77.04795405,
1343,PM4380759,4393_0016,Fairfield Inn & Suites Washington DC New York Ave,2016,In Compliance,2305 NEW YORK AVE NE,SUTON TWO LLC,5,WASHINGTON,DC,20002,2008,Hotel,Hotel,84180,84180.0,88,61.6,62.0,142.8,143.1,469.1,5.6,3719.4,921503.2,20424.64498,38.91684189,-76.97149093,
1355,PM4361120,4102_0248,Quality Inn and Suites,2016,In Compliance,1600 NEW YORK AV NE,"""44 WASHINGTON ASSOCIATES",5,WASHINGTON,DC,20002,1966,Hotel,Hotel,99217,99217.0,35,64.0,64.5,145.5,145.6,566.1,5.7,6295.7,1089709.3,26300.72524,38.91743261,-76.97997383,
1356,PM5932679,0701_0171,Hampton Inn DC Navy Yard,2016,In Compliance,1263-1265  1ST ST SE,CAPITAL RIVERFRONT HOTEL LLC,6,WASHINGTON,DC,20003,2014,Hotel,Hotel,118944,118944.0,80,60.6,60.6,145.6,145.6,670.2,5.6,2741.4,1366821.3,25495.04474,38.87499467,-77.00619075,
1434,PM4556802,0030_0018,Washington DC RI,2016,In Compliance,801 NEW HAMPSHIRE AVE NW,CHATHAM WASHINGTON DC LLC,2,WASHINGTON,DC,20037,1973,Hotel,Hotel,98042,98042.0,22,72.9,73.2,161.7,160.4,625.4,6.4,3303.8,1171069.7,31468.259660000003,38.899855200000005,-77.05224877,
1458,PM3991631,1971_0836,Days Inn,2016,In Compliance,4400 CONNECTICUT AV NW,THOMAS MOTT TRUSTEES,3,WASHINGTON,DC,20008,1948,Hotel,Hotel,76016,76016.0,76,52.8,52.3,165.7,164.1,460.1,6.1,6406.0,1175806.9,,38.94695704,-77.06560886,
1477,PM3524415,0195_0846,Hotel Rouge,2016,In Compliance,1315 16TH ST NW,LHO WASHINGTON HOTEL THREE L L C,2,WASHINGTON,DC,20036,1964,Hotel,Hotel,161042,114073.0,67,94.5,95.7,168.7,168.9,806.1,7.1,5396.9,1112570.5,69800.63197999999,38.90827384,-77.03613249,
1544,PM3685596,0537_0809,Residence Inn Capitol,2016,In Compliance,333 E ST SW,SOUTHWEST CAPITOL ASSOCIATES LLC,6,WASHINGTON,DC,20024,2003,Hotel,Hotel,235962,190000.0,54,79.8,79.7,182.1,180.1,1355.3,7.1,10186.6,2618733.0,62246.2317,38.88362145,-77.01593266,
1561,PM3524434,0158_0838,Topaz Hotel,2016,In Compliance,1733 N ST NW,LHO WASHINGTON HOTEL ONE L L C,2,WASHINGTON,DC,20036,1964,Hotel,Hotel,69795,73373.0,65,92.3,93.0,184.8,183.4,549.6,7.5,3973.5,904154.6,36861.145469999996,38.90742679,-77.03971125,
1584,PM3524416,0628_0876,Hotel George,2016,In Compliance,0015 E ST NW,LHO WASHINGTON HOTEL SIX LLC,6,WASHINGTON,DC,20001,1929,Hotel,Hotel,88704,139000.0,7,91.3,91.5,191.3,190.6,1064.8,7.7,8850.8,1859722.4,63475.6214,38.89640338,-77.0099098,
1588,PM3499934,0245_0844,Washington Plaza Hotel,2016,In Compliance,10 THOMAS CIR NW,WASHINGTON PLAZA HOTEL LLC,2,WASHINGTON,DC,20005,1961,Hotel,Hotel,300357,300357.0,40,93.2,94.6,192.6,192.9,2325.1,7.7,19849.9,3991184.2,143718.5556,38.90625979,-77.0309762,
1598,PM3351508,0162_0823,27103-The Mayflower Autograph Collection,2016,In Compliance,1127  CONNECTICUT AVE NW,WSRH WASHINGTON LLC,2,WASHINGTON,DC,20036,1925,Hotel,Hotel,583918,628696.0,62,87.8,87.5,194.2,191.4,4821.9,7.7,27882.0,8993664.8,245273.9967,38.9044497,-77.03946887,
1611,PM3519739,0212_0851,Washington DC HWS,2016,In Compliance,1475 MASSACHUSETTS AV NW,RLJ III HS WASHINGTON DC LLC,2,WASHINGTON,DC,20005,2001,Hotel,Hotel,154697,136005.0,49,75.1,75.3,197.1,195.6,1016.1,7.5,7008.7,2254038.8,25247.165080000002,38.90668444,-77.03358488,
1614,PM3762120,0762_0841,144-Capitol Hill Hotel,2016,In Compliance,0200 - 0220 C ST SE,HHLP CAPITOL HILL ASSOCIATES LLC,6,WASHINGTON,DC,20003,1959,Hotel,Hotel,88653,88464.0,60,87.3,87.0,197.7,196.8,686.6,7.8,7595.0,1315408.7,32357.9995,38.88623924,-77.00263424,
1621,PM3524412,0247_0873,Donovan House,2016,In Compliance,1155 14TH ST NW,LHO TOM JOAD CIRCLE DC LLC,2,WASHINGTON,DC,20005,1974,Hotel,Hotel,112867,145298.0,58,79.6,79.9,199.2,199.5,1109.0,7.6,5757.8,2354783.2,35329.96088,38.90509773,-77.03157046,
1626,PM4546033,0078_0850,Lombardy Towers APT Hotel,2016,In Compliance,2019 I ST NW,LOMBARDY TOWERS APT HOTEL,2,WASHINGTON,DC,20006,1929,Hotel,Hotel,85163,85163.0,59,89.1,89.0,200.4,197.8,671.2,7.9,7607.9,1275899.9,32379.18914,38.90164385,-77.04592077,
1634,PM4539355,2530_0310,CourtYard Marriott Dupont,2016,In Compliance,1900 CONNECTICUT AVE NW,NCPT CAPSTONE DUPONT LLC,2,WASHINGTON,DC,20009,1969,Hotel,Hotel,97125,97125.0,71,80.8,80.5,203.2,200.6,755.4,7.8,2596.8,1612028.0,23469.3682,38.91603665,-77.04687482,
1641,PM4006008,0015_0048,Avenue suites,2016,In Compliance,2500 PENNSYLVANIA AVE NW,FLORENZ R OURISMAN HOSPITALITY PARTNERS,2,WASHINGTON,DC,20037,1978,Hotel,Hotel,94951,108766.0,40,94.6,94.3,205.4,203.0,886.2,8.1,6812.1,1617690.2,47682.75599,38.90344141,-77.05367232,
