Primary_Property_Type_EPA_Calculated,Weather_Normalized_Site_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e
Multifamily Housing,19.1,53.8,162.9
Multifamily Housing,17.8,55.9,123.5
Multifamily Housing,47.8,58.4,810.3
Multifamily Housing,53.7,61.1,172.7
K-12 School,32.4,61.5,180.5
Multifamily Housing,19.9,62.6,294
Office,22.3,70.1,1069
K-12 School,68.7,72.3,135.9
Worship Facility,22.5,70.7,157.9
Office,26.6,74.4,296.7
Multifamily Housing,24,75.3,354.8
Non-Refrigerated Warehouse,39.8,75.9,352.6
Multifamily Housing,37.3,76.9,412.3
Multifamily Housing,29.1,77.8,229.2
Multifamily Housing,45.9,80.2,562.4
Non-Refrigerated Warehouse,31.3,82.5,828.3
Multifamily Housing,47.9,84.8,373.1
Distribution Center,30,86.8,212.3
Office,28.2,88.5,1488
Worship Facility,51.5,92.2,243
Worship Facility,53.4,92.8,244.8
Office,34,92.6,282.9
Residence Hall/Dormitory,38.2,94.7,135
Multifamily Housing,58.5,95.5,850.5
Multifamily Housing,60.2,96.9,4409
Multifamily Housing,56.4,96.8,1166.1
Multifamily Housing,32,97.1,525.6
Distribution Center,85.2,97.5,417.6
Multifamily Housing,40.3,98.7,1008.3
Multifamily Housing,75.3,99.3,616.6
Multifamily Housing,42.4,101.4,751.5
Office,32.3,101.3,943
Retail Store,32.7,102.7,1127.6
Multifamily Housing,36.3,105.8,405.8
Multifamily Housing,44.2,107.1,623.4
Hotel,61.2,107.4,1432.4
Non-Refrigerated Warehouse,51.2,107.6,967.2
Multifamily Housing,48.9,108.6,830.5
Residence Hall/Dormitory,45.7,110.4,229.5
K-12 School,46.3,111.5,351.3
Multifamily Housing,54.5,111.3,350.7
Worship Facility,57.1,113.2,374.9
Medical Office,36.4,113.3,393.2
Multifamily Housing,36.4,114.2,1098.1
Multifamily Housing,74.2,116.6,523.5
Non-Refrigerated Warehouse,37.5,117.9,254.4
Office,41.6,118.4,775.6
K-12 School,60.5,119.4,375.5
Office,39.1,122.9,260.1
Residence Hall/Dormitory,65.3,123.3,366.8
Office,50.7,123.9,508.8
Multifamily Housing,95.3,126.4,431.1
Office,42.7,126.4,1802
Multifamily Housing,81.7,127,456.4
Distribution Center,40.4,126.9,688.4
Multifamily Housing,48.4,127.8,316.4
Hotel,67,128.7,650.8
Multifamily Housing,102.8,129,312.1
Residence Hall/Dormitory,52.8,129,1268
Residence Hall/Dormitory,69.4,129.8,763.9
Office,45.2,129.4,1196.5
Hotel,57,130.6,571.2
Office,41.7,130.8,2107.6
Office,41.7,131,1259.8
Multifamily Housing,85.1,132.4,669.8
Residence Hall/Dormitory,63.9,132.3,795.3
Hotel,62.8,133.2,705.7
Hotel,62.9,134.4,1830.6
Office,43.1,135.3,2817.6
Office,64.3,133.2,450
Residence Hall/Dormitory,85.9,139.7,443.9
Office,48,138.7,458.4
Multifamily Housing,82.7,139.6,694.7
Hotel,53.8,140.8,733.4
Office,45.1,141.5,1627.9
Office,49.6,141.2,459.5
Office,45.5,143,2317.8
Multifamily Housing,60.9,143,2971.9
Distribution Center,56.4,144.2,563.4
Office,46.8,147,503.9
Office,46.8,146.9,2098.9
Hotel,64.2,147.1,546.3
Office,47.1,147.8,7460.7
Hotel,61.2,147.9,341.5
Multifamily Housing,87.2,148.3,419.8
Office,47.2,148.2,488.5
Office,48.1,150.4,1004.6
Multifamily Housing,79.5,151.1,778.5
Office,66.8,150.8,525.8
Office,52.1,152,742.4
Hotel,73.9,152.4,4679.3
Office,48.5,152.3,1335.3
Multifamily Housing,93.9,154.2,608.3
Residence Hall/Dormitory,80.4,153.9,416.4
Office,58,154.1,1017.3
Office,68.8,156.2,425.9
Multifamily Housing,49.8,155.7,390.6
Office,49.7,156,3852.7
Office,49.9,156.7,1263.2
Office,56.9,156.3,948.8
Office,50,156.9,1598.8
Office,68.3,157.6,2314.3
Worship Facility,51.2,157,337.2
Office,56.9,157.5,1228.2
Office,50.1,157.3,4898.6
Office,50.2,157.7,840.2
Office,50.3,157.8,934.1
Office,50.5,158.5,2040
Multifamily Housing,74.6,159.1,372.5
Office,50.8,159.6,1771
Office,51,160.1,1335.9
Office,60.9,160.3,444.9
Office,57.6,161.4,4799.8
Non-Refrigerated Warehouse,86.4,163.3,1484.5
Office,51.6,161.9,2836.2
Office,60.2,162.3,1605.8
Multifamily Housing,91.4,163,535.2
Office,51.7,162.5,2135.5
Office,59.8,162.7,1603.6
Office,52.7,164.1,1366.9
Hotel,85.6,164.4,1361.7
Office,52.3,164.2,5878.8
Hotel,88.6,164.9,590.3
Office,52.4,164.7,3050.8
Office,58.6,165.6,710.3
Office,77.7,166.6,721.3
Office,52.8,165.8,1368.6
Office,66.3,166.5,1558
Office,52.9,166.2,2726.2
Residence Hall/Dormitory,72.6,166.6,494.2
Residence Hall/Dormitory,77.3,166.9,919.4
Office,65,166.8,2463.3
Residence Hall/Dormitory,102.8,168.1,390.1
Office,54.3,167.9,3982.8
Office,66.8,168,560.9
Office,53.5,168.1,1569
Residence Hall/Dormitory,74.1,169.1,531.4
Office,54.1,168.9,3894.8
Office,53.9,169.1,3624.4
Office,57.4,169.4,3511.2
Office,55.7,169.5,2324.6
Office,65.6,170,772.6
Office,54.2,170.3,8546.6
Office,79,171.5,593.9
Office,70.2,169.6,437.1
Office,54.5,171.2,1230.1
Office,54.6,171.5,533.8
Office,61.4,172.6,2248.6
Office,56.6,172.5,1437
Office,60.9,172.7,334.8
Office,55.2,173.5,1623.8
Office,55.3,173.6,4243.2
K-12 School,84.2,174.6,582.3
Office,55.4,174,2237.5
Office,74.5,175.6,496.2
Office,79.1,175.3,476.7
Office,76,175.3,826.6
Office,82.7,175.4,915.6
Office,66.4,175.3,756.3
Office,72.4,175.6,1438.2
Office,76.8,176.9,472.8
Office,56.3,176.8,3020
Multifamily Housing,114.3,178,411.9
Office,62,177.2,2671.6
Office,56.4,177,1381.2
Office,81.9,179.3,342.3
Office,62.4,179.2,2507.4
Office,57.3,179.9,473.5
Office,57.2,179.8,1706.1
Office,57.5,180.4,1325.2
Multifamily Housing,109.6,182,423.7
Office,71,181,1032.7
Office,57.8,180.6,3705
Office,66.3,181,882
Office,57.6,180.9,2231.1
Office,68.6,181.4,1726.1
Hotel,79.1,181.2,1517.3
Office,58.3,183.1,493.6
Office,58.1,182.4,2255
Office,57.9,181.9,1552.7
Office,57.9,181.9,867.9
Office,57.9,181.8,5250
Residence Hall/Dormitory,80.8,183.5,1229.9
Office,58.3,183,3082.3
Office,58.4,183.5,1886.6
Office,80.9,183.1,3136
Office,60.1,183.3,847.1
Office,58.5,183.7,1800.2
Worship Facility,95.6,183.9,761.5
Office,59,185.4,2129.8
Office,59.4,186.5,518.9
Office,59.4,186.6,1898.8
Office,62.8,187.7,1663.4
Office,66.2,188,1855.3
Office,59.9,188.1,2737.7
Office,68,188.4,1437.4
Hotel,82.2,188.2,739.5
Office,60,188.4,10498.9
Office,60.1,188.7,1014.7
Office,60.1,188.8,4742.3
Office,60.2,188.9,1411.9
Hotel,100.9,189.7,651.7
Office,60.2,189,833.3
Office,60.4,189.7,2300.7
Office,60.4,189.7,1381.3
Office,73.3,189.8,497.1
Office,60.7,190.4,1383.2
Office,60.5,189.9,723.3
Office,71.2,191.1,2719.9
Office,60.8,191,1929.8
Office,60.9,191,2175.4
Office,61.5,191.8,2855.1
Multifamily Housing,105.4,191.9,678.9
Office,61.3,192.6,5718.7
Office,94.8,194.3,478.7
Office,67,194.3,3342.6
Office,88.3,195.4,1829.4
Office,62.1,195.1,4678
Office,76.6,196.8,3112.4
Office,62.6,196.6,3063.1
Office,63.2,196.9,3392.6
Office,82.7,197.8,1460.4
Office,87.8,198,983.9
Office,62.9,197.4,3022.8
Office,73.7,198.4,580.7
Office,64.1,198,3489.4
Office,63.1,198.2,2094.9
Office,63.3,198.6,2155.3
Office,63.3,198.7,2017.1
Medical Office,70.7,198.8,1303.8
Office,73,199.5,1741.7
Office,63.7,199.9,1994.7
Residence Hall/Dormitory,92.6,200.3,854.2
Office,63.8,200.3,2727.2
Hotel,95.4,200.7,972.7
Office,64.2,200,4898.5
Office,86.2,201.8,896.1
Office,64.1,201.3,1586.7
Office,64.2,201.7,1590.6
Office,64.5,202.4,2195.8
Office,64.5,202.4,1708.2
Office,64.5,202.4,5292.8
Office,65,202.7,2077.2
Office,76,203.5,2967.1
Office,64.9,203.9,1806
Office,65,204,2564.6
Office,65.2,204.6,1502.2
Residence Hall/Dormitory,95.6,206.7,1888.7
Office,65.9,206.7,1905.6
Office,66,207.1,2339.9
Office,88.4,207.1,1212.1
Office,66.3,208,2000.7
Office,66.6,209.2,2505.4
Office,67.4,209.1,574.6
Office,66.8,209.5,3104.8
Office,66.8,209.7,1364
Office,66.9,210.1,2755.6
Office,66.9,210.1,917.1
Multifamily Housing,135.4,211.5,1514.7
Office,68.4,210.4,7308.5
Office,74.1,210.9,4814.2
K-12 School,73.8,211.4,768.6
Office,98.1,212,2879.9
Hotel,95.2,211.9,8560.6
Office,68.9,212.2,470.8
Office,68.2,214.2,1161.4
Office,87.9,215,2811.9
Office,68.4,214.5,2006.6
Office,81.6,215.6,749
Residence Hall/Dormitory,89.3,215.8,625.6
Office,93.1,216.4,2027.9
Office,69,216.6,1054.8
Office,69.1,216.9,3552.6
Hotel,87.6,217.9,6312.8
Office,69.5,218.1,1220.3
Multifamily Housing,148.1,220.4,623.6
Multifamily Housing,124.1,219.1,598.2
Office,69.9,219.3,779.9
Hotel,93.2,219.1,577.4
Office,70.3,220.3,2638.4
Office,70.2,220.6,551.4
Office,70.3,220.8,1285.1
Office,98.4,220.9,678.6
Office,70.7,222.1,2727
Office,80.8,223.7,3849.4
Office,78.3,223.7,1744.6
Office,71.2,223.6,982.6
Office,71.3,224,4553.9
Office,71.5,224.4,1297.4
Office,71.5,224.6,2685.5
Office,73.8,224.9,6129
Hotel,98.7,226,2625.3
Office,72.6,226.3,2407.9
Hotel,88,226.9,1232.2
Office,95.9,228.1,696.5
Office,89.6,227.8,7055.7
Other,93.4,228.1,7958.6
K-12 School,84,227.9,427
Office,72.8,228.6,940.2
Office,74.6,228.8,2335.6
Office,73,229.3,3524.2
Office,86.8,231.4,445
Office,73,229.3,3101.4
Office,73.1,229.5,1392.4
Office,73.1,229.6,1617
Office,73.5,230.9,3833
Office,73.9,232.1,4948.6
Office,76,232.4,1587.8
Hotel,118,233.1,9801.9
Office,74.1,232.5,948.2
Office,74.1,232.6,570.6
Office,74.2,233.1,5577.4
Office,74.4,233.7,4172.7
Office,74.5,233.9,1507.7
Office,74.5,233.9,3012.8
Worship Facility,102.7,234.3,2236.8
Office,74.8,234.9,2934.4
Office,75.1,235.9,1981.1
Office,85.3,236.6,2249.2
Hotel,98.3,236.8,2001.4
Office,77.9,237.7,2727.6
Office,106.5,243.5,657.8
Office,76,238.8,1234
Office,76.7,240.7,1397.9
Office,77,241.7,507.3
Hotel,108.2,239.1,629.6
Office,77.5,243.5,1186.5
Office,77.7,244,647.6
Office,78.3,245.9,661.9
Office,78.7,245.7,2132.2
Senior Care Community,102.3,250,738.1
Medical Office,91.4,246.8,556.1
Office,79.6,247.4,1928.1
Office,110.9,248.1,537.8
Office,78.9,247.7,758.8
Office,79.3,248.9,2042.2
Office,79.4,249.4,18085.1
Office,79.6,249.9,3014.5
Office,80,251.1,2091.8
Hotel,116.5,252.3,1077
Office,80.5,252.7,2140.2
Hotel,103.7,252.5,2104.6
Office,99.8,253.9,5155.2
Office,80.8,253.8,1218.7
Office,86.3,254,1111.6
Office,80.9,254,2459.8
Hotel,90,256.8,1076.3
Multifamily Housing,187,258.4,2741.1
Office,94.4,256.8,1554.4
Office,82.7,259.6,3886.4
Office,82.8,260.1,719.8
Office,84.3,261.7,2263.5
Office,83.6,262.6,1776.4
Office,83.7,262.9,1671.9
Office,84,263.9,4692
Hotel,150.7,266.2,1700.7
Hotel,108.2,266.2,6979.6
Office,85.5,268.4,944.3
Office,85.4,268.2,2279.5
Office,97.8,269.9,731.1
Hotel,128.4,270,1710.5
Multifamily Housing,139.3,271.7,702.8
Office,86.2,270.8,705.2
Office,86.5,271.5,2384.1
Office,86.7,272.1,497.9
Office,87.1,273.6,1431.8
Office,87.5,274.8,3038.2
Office,88.1,276.5,1923.6
Office,88,276.3,3267.7
Office,99.9,276.7,2598.8
Other,88.2,277,5828.2
Multifamily Housing,110,279.9,391.4
Hotel,124.5,278.2,6296.5
Office,89.1,279.9,3924.3
Office,90.2,281,3931.6
Hotel,130.7,282.8,5534.9
Office,94.6,283.5,5822.8
Office,107.9,289.1,1374
Hotel,162.1,291.3,2399.7
Hotel,133,294.1,2558.6
Office,94.6,296.9,3098.9
Office,94.9,298,660.3
Office,94.9,297.8,1859.7
Office,95,298.2,2961.1
Office,129.4,298.5,703
Hotel,139.5,299.6,2993.7
Office,97.5,306.2,781.5
Office,97.9,307.3,2625.6
Office,97.9,307.4,854
Senior Care Community,166.8,308.9,1111
Office,134.8,311,3356.9
Hotel,127.5,310.6,3800.3
Office,101.4,310.9,5154.2
Office,99.3,311.7,1825.8
Medical Office,131.2,314.3,1774.9
Hotel,131.3,315.9,5113.9
Office,133.6,316.9,4153.8
Office,101.4,317.5,2448.1
Office,101.6,319,1037.4
Office,105.1,330,4049.9
Hotel,144.6,331.1,1677.3
Hotel,166.1,330.1,1560.8
Other,112.3,334.6,1978
Office,124.6,338.1,1145.4
Office,111.4,342.8,1043
Hotel,165,353.4,2601.6
Distribution Center,139,366.8,1558.3
Other,131.5,372.1,8976.1
Medical Office,141.8,383.8,1302.4
Office,122.2,383.6,3201.1
Office,128.1,402.3,3333.1
Hotel,193.5,405.7,2836.3
Hospital (General Medical & Surgical),193.1,425.9,38228.7
Hotel,206.8,438.5,1194.1
Hospital (General Medical & Surgical),190.1,444.6,2157
Office,141.6,444.5,2097.9
Office,146.2,459.1,2203.6
Office,194.2,609.8,4224.9
Office,277.1,640.5,2294.9
Office,357.6,957.4,6871
